Gene_acc,PG.ProteinAccessions,S1,S2,S3,I1,I2,I3,Desc
0,GFP.BLA,24049.328125,8643.076171875,233146.765625,Filtered,Filtered,Filtered,GFP.BLA
2,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,105992.4140625,104424.3046875,95841.265625,76605.171875,81391.8671875,90829.09375,"hypothetical protein, conserved"
3,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,719534,666796.5,687609.1875,33474.3828125,29259.98046875,36431.66015625,"major vault protein, putative"
4,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,24402.216796875,26929.810546875,84383.25,134007.265625,173971.4375,168930.59375,"hypothetical protein, conserved"
5,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,137383.625,140133.71875,118379.6484375,2565923.5,2853554.25,2688291.5,"paraflagellar rod component par4, putative"
6,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,7411979,6130297.5,5483654,263230.09375,325229,372967.4375,"ras-like small GTPase, putative"
7,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,171950.75,153788.03125,131874.5,110366.796875,88281.9765625,42827.44921875,Kinetochore interacting protein 1
10,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,3039727.25,2946103.25,2647832,144692.203125,217640.84375,248227.015625,"guanine deaminase, putative"
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,355834.65625,438394.71875,411358.78125,2449753.25,2481410,2532225,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,120099.4375,120516.109375,119073.0078125,Filtered,Filtered,Filtered,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1974610.125,1907836.375,1875587.25,872098.125,938265,938546.875,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,184386.96875,93671.96875,131055.296875,2866112.75,4927556.5,3809586.75,"hypothetical protein, conserved"
